comparison,mean_return_difference,ci_lower,ci_upper,observations
xgboost_vs_lstm,0.0012270128304769671,-7.063055002431724e-05,0.002648527466997694,1086
xgboost_vs_buy_and_hold,-0.0003634036071103394,-0.001767047737067607,0.0010820370191585535,1086
lstm_vs_buy_and_hold,-0.0015904164375873063,-0.002997774269604026,-0.00025914561571090296,1086
