model,MAE,RMSE,R2,Directional Accuracy
XGBoost,0.014121728328939065,0.01890295072697168,-0.23568823809786266,0.46593001841620624
LSTM,0.01652911663105475,0.021726405370109354,-0.5966582301511181,0.4599236641221374
