model,mae,rmse,r2,directional_accuracy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,win_rate,trades,observations
xgboost,0.013213224221113436,0.018095481569315328,-0.04749028281945322,0.48987108655616945,0.19238274016855983,0.04167397862564859,0.2811007724252851,0.14524689357477147,-0.4292535496080194,0.48250460405156537,320,1086
lstm,0.014572898115440934,0.019856203849368752,-0.26125284163349494,0.4732965009208103,-0.6854405926382383,-0.2353814670826222,0.2812986491704068,-0.9540686387774817,-0.7625439348949853,0.46500920810313073,252,1086
buy_and_hold,,,,,0.7693458909911637,0.1415725286256153,0.2807989359955969,0.4715357004419818,-0.33433709566003955,0.5303867403314917,0,1086
