model,mean_daily_return,mean_return_ci_lower,mean_return_ci_upper,sharpe_ratio,sharpe_ci_lower,sharpe_ci_upper,cumulative_return,cumulative_return_ci_lower,cumulative_return_ci_upper,observations
xgboost,0.00016201989673111678,-0.0008208436298443866,0.0011943785720313642,0.14524689357477147,-0.7582380276439953,1.0565923282198064,0.19238274016855983,-0.5899335998585319,2.658653302340729,1086
lstm,-0.0010649929337458507,-0.0020746412792634968,-9.479974149776026e-05,-0.9540686387774817,-1.9362994091009396,-0.07894193010384946,-0.6854405926382383,-0.8949228488536574,-0.0978301694721017,1086
buy_and_hold,0.0005254235038414563,-0.0004789754123143147,0.0015449725503826738,0.4715357004419818,-0.41949470780127013,1.4406432021761275,0.7693458909911637,-0.4055789029955276,4.353979911632785,1086
