model,MAE,RMSE,R2,Directional Accuracy
XGBoost,0.013213224218946927,0.01809548157244198,-0.04749028318143722,0.48987108655616945
LSTM,0.014572898117377093,0.019856203844222296,-0.2612528409796959,0.4732965009208103
